индонезийский контекст	русский контекст	русская конструкция	английский контекст	английская конструкция
Sekilas terbayang oleh Harry wajah Paman Vernon ketika dia menyadari tak ada Kompetisi Pemeliharaan Halaman-Rumput Terbaik Seluruh Inggris.	Гарри представил себе лицо дяди Вернона в тот миг, когда он поймет, что нет никакого Всеанглийского конкурса лучших содержателей пригородных лужаек.	актив	Harry had a fleeting vision of Uncle Vernon’s face when he realised there was no All-England Best Kept Suburban Lawn Competition.	актив
Lanjutan cerita ini terhalang oleh sangkar burung besar yang berdiri di atasnya.	Остаток статьи заслоняла стоявшая на газете большая птичья клетка.	актив	But the rest of this story was obscured by the large birdcage standing on top of it.	пассив
Beberapa detik kemudian, atau begitu rasanya bagi Harry, dia terbangun oleh sesuatu yang kedengarannya seperti tembakan meriam ketika pintu menjeblak terbuka.	Ему показалось, что прошло всего несколько секунд, как его разбудил звук пушечного выстрела — это распахнулась дверь комнаты.	актив	Seconds later, or so it seemed to Harry, he was woken by what sounded like cannon-fire as the door burst open.	пассив
"Kukira kekuatannya terpengaruh oleh shock, atau sesuatu."	— Видимо, ее волшебные способности пострадали от переживаний, что-то в таком духе.	актив	‘I think her powers must have been affected by shock, or something.’	пассив
Merope, meringkuk di sebelah jendela, kepalanya menunduk dan wajahnya tersembunyi oleh rambutnya yang tipis, tidak berkata apa-apa.	Меропа молчала, съежившись у окна, опустив голову, так что свисающие волосы закрывали лицо.	актив	Merope, huddled beside the window, her head bowed and her face hidden by her lank hair, said nothing.	past participle
Hermione mengatupkan bibir rapat-rapat, tampak marah dan tidak setuju, tetapi perhatiannya teralih oleh burung hantu ketiga yang mendarat di depannya, membawa Daily Prophet edisi hari itu.	Гермиона поджала губы с сердитым и осуждающим видом, но ее отвлекла третья сова, усевшаяся перед нею на стол со свежим номером «Ежедневного пророка».	актив	Hermione pressed her lips together, looking angry and disapproving, but was distracted by a third owl landing in front of her carrying that day’s copy of the Daily Prophet.	пассив
Dua orang itu muncul secara tiba-tiba, terpisah beberapa meter di sebuah jalan sempit yang diterangi oleh cahaya bulan.	Эти двое, появившись словно бы ниоткуда, пару секунд простояли в нескольких шагах друг против друга на узкой, освещенной луной тропе.	страдательное причастие	The two men appeared out of nowhere, a few yards apart in the narrow, moonlit lane.	"moonlit"
Gerakan itu terlihat oleh Voldemort, matanya melebar penuh kedengkian.	Глаза Волан-де-Морта, заметившего это движение, злобно расширились.	действительное причастие	The gesture was not missed by Voldemort, whose eyes widened maliciously.	пассив
Harry bermaksud untuk mengikutinya, tapi jalannya tertahan oleh Percy Weasley yang berdiri di dalam lift, hidungnya tertutup dalam koran yang sedang dibacanya.	Гарри тоже попытался выйти, но путь ему преградил уткнувшийся носом в какието документы Перси Уизли.	актив	Harry made to follow him, but found his path blocked as Percy Weasley strode into the lift, his nose buried in some papers he was reading.	past participle
Untuk beberapa saat, Harry mencoba keluar, tapi kali ini ia menyadari dirinya tertahan oleh lengan Mr. Weasley.	Гарри попытался последовать за ним, но на этот раз его остановила рука мистера Уизли.	актив	For the second time, Harry tried to get out, but this time found his way blocked by Mr. Weasley’s arm.	пассив
